Session ID,Publish ID,Collector,Start Date,End Date,Status,Progress,Duration,"Please take a few minutes to fill out the following questionnaire. This questionnaire borrows from a series of questions that are meant to allow you to self-assess your previous behavior as it relates to time, money, relationships, and logic. The intent of this survey is to inform us about your background as a professional in your field, and meant to guide our ongoing research in understanding personalities. This survey will not be tactically used for other than informational purposes in guiding our understanding of your field. Lastly, the survey collects no personal data beyond general demographic details and we will only use aggregated anonymous data to draw conclusions.",Profession,Title,Gender,Age,Ethnicity,MD Purchase Involvement,MD Purchase Hours/Week,CRT Q1,CRT Q2,CRT Q3,CRT Q4,CRT Q5,CRT Q6,CRT Q7,TP Q1,TP Q2,TP Q3A,TP Q3B,TP Q3C,TP Q3D,TP Q3E,RSK Q1,RSK Q2A,RSK Q2B,RSK Q2C,RSK Q2D,RSK Q2E,RSK Q2F,RSK Q2G,RSK Q2H,"Choices are affected by context. We are interested in whether you are taking the time to read each question. To show that you are paying attention, please select only the ""none of the above"" option as your answer.",STI Q1,STI Q2A,STI Q2B,STI Q2C,STI Q2D,STI Q2E,STI Q2F,STI Q2G,TRU Q1,ALT Q1,ALT Q2,"Congrats, you've finished the survey! Thank you for taking the time to give us your invaluable responses. If you are interested in learning more, the survey leveraged several widely used survey measures from ongoing social and behavioral science research from Frederick (2005), Toplak, West, & Stanovich (2014), and Kahneman and Tversky (1992). Please feel free to reach out to us if you have any questions and would like to understand the behavioral science work we do: https://creativescience.co/contact-us/",aid,id,score
ae83e0e6-e607-46a1-acf2-fa7efe391a91,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Wed, Nov 25, 2020 4:23 PM","Wed, Nov 25, 2020 4:26 PM",complete,100,214,11/25/2020 23:23,Quality,CEO,Male,34,White,10,34,10,90,34,7,10,is ahead of where he began,Yes,10,9,$340 a year from now,$255 a year from now,$213 a year from now,$191 a year from now,$175 a year from now,10,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$100 ,10,10,9,10,10,10,10,9,10,1700,11/25/2020 23:26,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbee6b5-3795-acaa-8461-0fdad8a1a373,,
1662b60f-2cc3-420d-8d6f-41ad48e608d7,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Wed, Nov 25, 2020 4:30 PM","Wed, Nov 25, 2020 4:43 PM",complete,100,789,11/25/2020 23:30,General Physician,Physician,Male,35,White,8,20,5,5,24,4,29,has lost money,No,6,7,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,8,8,6,6,7,8,5,8,6,300,11/25/2020 23:43,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbee8d0-c1a8-da27-104e-4de86214a8ea,,
573c3cea-68cb-49b0-bbb5-e834150a4f07,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Wed, Nov 25, 2020 5:21 PM","Wed, Nov 25, 2020 5:29 PM",complete,100,481,11/26/2020 0:21,Healthcare Admin,Iâ€™m an administrator for a hospital.,Male,41,White,9,20,9,100,24,6,1,"broke even, or has the same amount started with",No,5,5,$340 a year from now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,7,1,1,3,10,10,1,5,10,100,11/26/2020 0:29,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbef4b3-b000-6a54-74d0-524b7c25dfbd,,
ecf885ef-d981-476e-b602-e8b65eafe8c2,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 10:12 AM","Thu, Nov 26, 2020 10:16 AM",complete,100,239,11/26/2020 17:12,Healthcare Admin,Director,Male,43,White,9,35,1,100,24,5,5,is ahead of where he began,Yes,9,9,$170 now,$170 now,$170 now,$170 now,$170 now,9,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $550,None of the above,$60 ,8,8,9,9,9,9,9,9,10,5,11/26/2020 17:16,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbfe1a6-8d73-0bb7-ef52-9c84a4113055,,
fadddb05-1bd0-43b7-a21d-e4ff7d8ae919,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 10:15 AM","Thu, Nov 26, 2020 10:27 AM",complete,100,694,11/26/2020 17:15,Surgeon,Professor of Surgery,Male,69,White,10,12,10,100,24,9,15,is ahead of where he began,No,8,6,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,5,5,5,5,8,9,8,7,8,1000,11/26/2020 17:27,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbfe26d-3f19-8f50-1eca-f40cf0a6c21c,,
91311dce-47dc-4b00-a0e8-d423223ed098,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 10:36 AM","Thu, Nov 26, 2020 10:43 AM",complete,100,404,11/26/2020 17:36,Nurse,Lpn,Male,44,White,6,2,1,5,12,4,30,has lost money,No,8,7,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$40 ,6,3,1,1,8,9,8,8,6,0,11/26/2020 17:43,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fbfe74e-d4c7-a04f-4d94-649701dce943,,
2e76bbbb-9767-4135-ba35-e8f6449893fc,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 6:48 PM","Thu, Nov 26, 2020 7:03 PM",complete,100,912,11/27/2020 1:48,Healthcare Admin,Technology professionals,Female,31,White,10,35,5,100,23,4,29,is ahead of where he began,Yes,10,10,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $410,50/50 chance of $565,100% chance of $550,None of the above,$60 ,10,10,10,10,10,10,10,10,10,1500,11/27/2020 2:03,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc05a84-3008-f0ad-c42c-b873c9d6cb00,,
e09a88c5-b84c-444d-916f-bb1c712c5219,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Thu, Nov 26, 2020 6:49 PM","Thu, Nov 26, 2020 7:07 PM",complete,100,1053,11/27/2020 1:49,Operating Room Staff,Surgical Nurse Manager,Female,40,White,9,5,1,50,24,9,15,is ahead of where he began,Yes,8,5,$340 a year from now,$255 a year from now,$213 a year from now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,5,6,6,7,10,9,10,4,8,500,11/27/2020 2:07,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc05ae9-e004-3cf1-4df4-719bf44f0d39,,
5fb0ff94-4e5d-41c0-a2cc-1b5156c63162,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:30 AM","Fri, Nov 27, 2020 10:40 AM",complete,100,571,11/27/2020 17:30,Surgeon,Vice president,Male,30,White,10,30,9,100,24,6,15,is ahead of where he began,No,8,5,$170 now,$255 a year from now,$170 now,$170 now,$170 now,9,50/50 chance of $565,100% chance of $70,50/50 chance of $565,50/50 chance of $565,100% chance of $320,50/50 chance of $565,100% chance of $480,50/50 chance of $565,None of the above,$60 ,9,10,9,8,10,9,8,9,4,300,11/27/2020 17:40,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13757-a018-a768-ca50-88e3bec064bc,,
2e712d07-c962-4bf7-a128-cff694528235,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:30 AM","Fri, Nov 27, 2020 10:40 AM",complete,100,565,11/27/2020 17:30,Nurse,Cath lab,Female,47,White,8,6,10,100,24,9,15,is ahead of where he began,No,7,7,$170 now,$170 now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,8,8,3,8,9,9,8,8,8,200,11/27/2020 17:40,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13797-c84d-b025-7e45-12477dca8cc6,,
74d24415-70bf-4954-a318-1ba81fc28669,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:31 AM","Fri, Nov 27, 2020 10:37 AM",complete,100,336,11/27/2020 17:31,Nurse,Nurse manager,Male,43,White,5,1,10,100,24,12,30,is ahead of where he began,No,3,9,$340 a year from now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$60 ,5,6,2,7,8,10,7,6,6,100,11/27/2020 17:37,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc137d4-2ffb-1ecc-a273-e222e11f9a65,,
1af3029f-ef49-422f-ae36-89f937b72888,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,439,11/27/2020 17:38,Nurse,Nurse,Female,41,White,6,10,10,50,24,2,30,"broke even, or has the same amount started with",No,10,7,$170 now,$170 now,$170 now,$170 now,$170 now,10,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,1,1,1,1,10,10,10,8,10,700,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1396b-d2cd-6e81-293f-03638b12c80f,,
e259e2cf-672f-4732-889c-09fc325a0816,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:38 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,568,11/27/2020 17:38,Healthcare Admin,Revenue Cycle Manager,Female,61,White,8,2,10,100,24,9,30,has lost money,No,7,7,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,7,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,5,5,2,7,10,10,8,8,10,180,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc1393a-0afe-bc95-0bb6-493f581187ba,,
54aa0675-808f-4223-9547-6188cea37305,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:39 AM","Fri, Nov 27, 2020 10:45 AM",complete,100,330,11/27/2020 17:39,Healthcare Admin,Director of IT,Male,37,White,9,17,9,100,49,7,30,is ahead of where he began,No,7,6,$340 a year from now,$255 a year from now,$170 now,$170 now,$170 now,4,100% chance of $35,100% chance of $70,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,7,7,7,6,9,8,4,4,9,18,11/27/2020 17:45,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc139ad-2b69-897d-b9b7-4091a79ec4b9,,
a891bbbf-6973-4c7e-ae8b-25ae8597f045,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:42 AM","Fri, Nov 27, 2020 10:47 AM",complete,100,335,11/27/2020 17:42,General Physician,family physician,Male,49,White,6,3,10,5,24,4,29,has lost money,No,5,7,$340 a year from now,$170 now,$170 now,$170 now,$170 now,4,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,$20 ,5,5,3,6,6,7,6,6,5,200,11/27/2020 17:47,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13a0e-2503-b6f1-4e8c-0d33fbf85153,,
e1c1ad9d-63ba-4be0-bc5e-6201793676cc,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:52 AM",complete,100,483,11/27/2020 17:44,Healthcare Admin,I oversee and manage 3 pediatric divisions within a hospital,Female,61,White,9,1,10,5,24,4,1,is ahead of where he began,No,3,4,$170 now,$170 now,$170 now,$170 now,$170 now,5,50/50 chance of $565,50/50 chance of $565,100% chance of $150,100% chance of $230,100% chance of $320,100% chance of $410,100% chance of $480,100% chance of $550,None of the above,No Gift,9,10,4,8,8,7,5,5,10,500,11/27/2020 17:52,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13aac-8447-d708-3f74-933ffd60472a,,
d7547e4c-de4f-4d75-b177-19ba0b6ee09b,174b9f3e-c2c4-4901-85bc-b5b0257a7a9b,Audience Panel,"Fri, Nov 27, 2020 10:44 AM","Fri, Nov 27, 2020 10:48 AM",complete,100,251,11/27/2020 17:44,Healthcare Admin,Administration,Female,27,Black,6,10,1,100,16,10,30,has lost money,No,6,5,$170 now,$255 a year from now,$213 a year from now,$170 now,$170 now,6,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,50/50 chance of $565,100% chance of $480,100% chance of $550,None of the above,No Gift,4,4,2,4,4,6,6,6,7,200,11/27/2020 17:48,644c3d1a-6617-4fc8-b8c0-346392599b5f.5fc13ac7-a7c5-06f2-4b33-0890817015a6,,
