,Name,Picture,Rarity,Family,Role,Max HP,Max MP,Max ATK,Max DEF,Max AGL,Max WIS,Move,Frizz,Sizz,Crack,Woosh,Bang,Zap,Zam,,Sleep,Poison,Physical Lock,Spell Lock,Martial Lock,Breath Lock,Hobble,Stun,Blind,Curse,Paralysis,Confusion,Charmed,,Leader Skill,1st Awakening Passive,Ability Scroll Suggestion,How to Obtain,Battle Road?,Skill 1 - Damage Type,Skill 1 - Damage Element,Skill 1 - Type/Range,Skill 1 - Cost,Skill 1 - Name,Skill 1 - Description,Skill 2 - Damage Type,Skill 2 - Damage Element,Skill 2 - Type/Range,Skill 2 - Cost,Skill 2 - Name,Skill 2 - Description,Skill 3 - Damage Type,Skill 3 - Damage Element,Skill 3 - Range,Skill 3 - Cost,Skill 3 - Name,Skill 3 - Description
65,Silhouette,,B,Inorganic,Attack,,,,,,,2,Half Res,,,,Weak,Weak,Half Res,,,,,,,,,,,,,,,,,Crack-type Breath Potency +5%: Raises Crack-type breath potency by 5%.,,DQIII Event,Yes - limited time,Attack/Breath,Crack,Range: Straight line 2,Base MP: 9,Cool Breath,Deals minor Crack-type breath damage to all enemies in area of effect.,Attack/Breath,Zam,Range: Straight line 3,Base MP: 27,Dark Breath,Deals moderate Zam-type breath damage to all enemies in area of effect.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.
66,Skelegon,,B,Undead,Attack,578,228,253,232,171,150,2,,,,Heavy Res,Weak,Weak,Heavy Res,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Crack-type Physical Potency +5%: Raises Crack-type physical potency by 5%.,,Story,Yes,Attack/Breath,Crack,Range: Straight line 2,Base MP: 9,Cool Breath,Deals minor Crack-type breath damage to all enemies in area of effect.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.,Attack/Martial,Crack,Range: Radius 1,Base MP: 26,Glacier,Deals moderate Crack-type martial damage to all enemies in area of effect.
67,Skeleton Soldier,,B,Undead,Attack,571,181,302,240,226,98,2,Weak,,Heavy Res,Weak,,,Heavy Res,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Bang-type Physical Potency +5%: Raises Bang-type physical potency by 5%.,,Gacha,Yes,Attack/Physical,Typeless,Range: Straight line 2,Base MP: 7,Lightstrike,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: 1,Base MP: 20,Slashing Edge,Deals 195% potency physical damage to 1 enemy.,Attack/Physical,Bang,Range: 1,Base MP: 17,Blast Slash,Deals 180% potency Bang-type physical damage to 1 enemy.
68,Stone Golem,,B,Inorganic,Defence,516,172,258,412,141,140,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,Martial Potency +5%: Raises martial ability potency by 5%.,,Gacha,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Attack Attacker,"Deals 130% potency physical damage to 1 enemy, occasionally lowers ATK for 3 turns.",Attack/Martial,Typeless,Range: 1,Base MP: 13,Knuckle Sandwich,Deals moderate martial damage to 1 enemy.,Support/Martial,Typeless,Range: Self,Base MP: 23,Selflessness,Take attacks for directly adjacent allies for 1 turn.
69,Tearwolf,,B,Beast,Attack,565,163,307,158,312,103,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Physical MP Cost -5%: Lowers physical MP cost by 5%.,,Gacha,Yes,Attack/Physical,Typeless,Range: Straight line 2,Base MP: 7,Lightstrike,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Woosh,Range: 1,Base MP: 17,Aeolian Slash,Deals 180% potency Woosh-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: Semi-Radius 1,Base MP: 27,Multifists,Deals 50% potency physical damage to random enemies in area of effect 4 times.
70,Tuskateer,,B,Beast,Attack,746,172,275,181,165,145,2,Heavy Res,Heavy Res,Weak,,,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Bang-type Physical Potency +5%: Raises Bang-type physical potency by 5%.,,Story,Yes,Attack/Physical,Bang,Range: 1,Base MP: 3,Bomb Slash,Deals 120% potency Bang-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 26,Hatchet Man,"Delivers a 100% potency physical damage critical hit to 1 enemy, but often misses.",Attack/Physical,Bang,Range: 1,Base MP: 17,Blast Slash,Deals 180% potency Bang-type physical damage to 1 enemy.
71,Whackolyte,,B,Demon,Magic,432,231,253,181,190,223,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,Sizz-type Spell Potency +5%: Raises Sizz-type spell potency by 5%.,,Story,Yes,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 24,Sizzle,Deals moderate Sizz-type spell damage to all enemies in area of effect.,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Kabuff,Raises DEF of all allies in area of effect for 3 turns.
72,Wharfhorse,,B,Dragon,Support,557,270,211,202,190,186,2,Heavy Res,,,,Weak,Weak,Heavy Res,,,,Half Res,,,Weak,,Weak,Immune,,,,Half Res,,,Crack-type Breath Potency +5%: Raises Crack-type breath potency by 5%.,,Gacha,Yes,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Buff,Greatly raises 1 ally's DEF for 3 turns.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Partyboost,Raises 1 ally's ATK for 3 turns.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.
73,Wyrtle,,B,Dragon,Defence,,,,,,,2,Weak,,Res,,Res,,Weak,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,,Zap-type Martial MP Cost -5%: Lowers Zap-type martial MP cost by 5%.,,DQIII Event,Yes - limited time,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Sweet Breath,Occasionally puts all enemies in area of effect to sleep.,Attack/Martial,Zap,Range: Radius 1,Base MP: 26,Lightning,Deals moderate Zap-type martial damage to all enemies in area of effect.,Support/Martial,Typeless,Range: Self,Base MP: 23,Selflessness,Take attacks for directly adjacent allies for 1 turn.
75,Angel Slime,,C,Slime,Support,291,198,185,180,216,176,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,Healing Effect +5%: Raises Healing ability by 5%.,,Gacha,Yes,Attack/Spell,Zap,Range: 3,Base MP: 4,Zap,Deals minor Zap-type spell damage to 1 enemy.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 28,Midheal,Heals a moderate amount of HP for 1 ally.,,[''],[''],[''],,['']
76,Bodkin Fletcher,,C,Demon,Debuff,531,176,250,131,216,118,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,Physical Potency +5%: Raises physical potency by 5%.,,Gacha,Yes,Debuff/Physical,Typeless,Range: 2,Base MP: 15,Poison Arrow,"Deals 130% potency physical damage to 1 enemy, occasionally poisons.",Attack/Physical,Typeless,Range: 2x3,Base MP: 25,Rain of Pain,Deals 60% potency physical damage to random enemies in area of effect 4 times.,,[''],[''],[''],,['']
77,Buffalo Wing,,C,Beast,Attack,425,110,305,208,197,102,4,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Woosh-type Physical Potency +5%: Raises Woosh-type physical potency by 5%.,,Gacha,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Daunting Slash,"Deals 130% potency physical damage to 1 enemy, occasionaly lowers ATK for 3 turns.",Attack/Physical,Woosh,Range: 1,Base MP: 17,Aeolian Slash,Deals 180% potency Woosh-type physical damage to 1 enemy.,,[''],[''],[''],,['']
78,Clawcerer,,C,Beast,Magic,285,216,201,131,175,216,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Frizz-type Spell Potency +5%: Raises Frizz-type spell potency by 5%.,,Gacha,Yes,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,Attack/Spell,Frizz,Range: 3,Base MP: 16,Frizzle,Deals moderate Frizz-type spell damage to 1 enemy.,,[''],[''],[''],,['']
79,Corpse Corporal,,C,Undead,Debuff,586,191,243,217,98,86,2,Weak,Weak,,Heavy Res,,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Zam-type Physical Potency +5%: Raises Zam-type physical potency by 5%.,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Poison Attack,"Deals 130% potency physical damage to 1 enemy, occasionally poisons.",Attack/Physical,Zam,Range: 1,Base MP: 17,Dark Spike,Deals 180% potency Zam-type physical damage to 1 enemy.,,[''],[''],[''],,['']
80,Drackyma,,C,Demon,Debuff,410,208,186,155,177,176,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,Bang-type Spell MP Cost -5%: Lowers Bang-type spell MP cost by 5%.,,Story,Yes,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Snooze,Occasionally puts 1 enemy to sleep.,Attack/Spell,Bang,Range: Cross 2,Base MP: 30,Boom,Deals moderate Bang-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
81,Fightgeist,,C,Undead,Magic,363,176,182,126,212,170,4,,Weak,Weak,Heavy Res,,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Zam-type Spell Potency +5%: Raises Zam-type spell potency by 5%.,,Gacha,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Zam,Range: 3,Base MP: 16,Zammle,Deals moderate Zam-type spell damage to 1 enemy.,,[''],[''],[''],,['']
82,Goodybag,,C,Inorganic,Magic,531,172,156,192,246,133,2,Heavy Res,,,,Weak,Weak,Heavy Res,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,Sizz-type Spell Potency +5%: Raises Sizz-type spell potency by 5%.,,Story,Yes,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,Debuff/Spell,Typeless,Range: 3,Base MP: 14,Kasap,Occasionally lowers the DEF of all enemies in area of effect for 3 turns.,,[''],[''],[''],,['']
83,Grim Keeper,,C,Demon,Magic,388,203,198,176,186,178,2,Weak,Weak,,,Heavy Res,,Heavy Res,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,Zam-type Spell Potency +5%: Raises Zam-type spell potency by 5%.,,Story,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Zam,Range: 3,Base MP: 16,Zammle,Deals moderate Zam-type spell damage to 1 enemy.,,[''],[''],[''],,['']
84,Hocus Chimaera,,C,Nature,Support,523,198,196,133,200,172,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,Healing Effect +5%: Raises Healing ability by 5%.,,Story,Yes,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 7,Heal,Heals a minor amount of HP for 1 ally.,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Kabuff,Raises DEF of all allies in area of effect for 3 turns.,,[''],[''],[''],,['']
85,Hunter Mech,,C,Inorganic,Debuff,545,132,240,228,133,133,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Half Res,Immune,,,Half Res,,Weak,,,,,Weak,,,,Zap-type Physical Potency +5%: Raises Zap-type physical potency by 5%.,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Paralysis Attack,"Deals 130% potency physical damage to 1 enemy, occasionally paralyses.",Attack/Physical,Zap,Range: 1,Base MP: 17,Tempest Slash,Deals 180% potency Zap-type physical damage to 1 enemy.,,[''],[''],[''],,['']
86,Freezing Fog,,C,Inorganic,Attack,,,,,,,2,Weak,,Res,,,Weak,Res,,,Res,,Weak,Res,,,,,,Immune,,Weak,,,Crack-type Breath Potency +5%: Raises Crack-type breath potency by 5%.,,DQIII Event,Yes - limited time,Attack/Breath,Crack,Range: Straight line 2,Base MP: 9,Cool Breath,Deals minor Crack-type breath damage to all enemies in area of effect.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
87,Jargon,,C,Dragon,Debuff,676,176,241,192,133,90,2,,Weak,Weak,Heavy Res,,Heavy Res,,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,,Frizz-type Breath Potency +5%: Raises Frizz-type breath potency by 5%.,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 7,Shove,"Deals minor martial damage to 1 enemy, and knocks them back 2 spaces.",Attack/Spell,Frizz,Range: Straight line 3,Base MP: 27,Searing Breath,Deals moderate Frizz-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
88,Knight Errant,,C,Demon,Attack,527,166,242,225,140,128,2,,Weak,Weak,Heavy Res,,Heavy Res,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,Physical MP Cost -5%: Lowers physical MP cost by 5%.,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 7,Shove,"Deals minor martial damage to 1 enemy, and knocks them back 2 spaces.",Attack/Physical,Typeless,Range: Radius 1,Base MP: 30,Rolling Attack,Deals 175% potency physical damage to all enemies in area of effect.,,[''],[''],[''],,['']
89,Lips,,C,Nature,Magic,545,211,161,221,140,135,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,Woosh-type Spell MP Cost -5%: Lowers Woosh-type spell MP cost by 5%.,,Gacha,Yes,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
90,Man o' War,,C,Slime,Defence,670,176,166,242,168,95,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,Half Res,,,,,Zap-type Martial MP Cost -5%: Lowers Zap-type martial MP cost by 5%.,,Gacha,Yes,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Burning Breath,Occasionally paralyses all enemies in area of effect.,Attack/Martial,Zap,Range: Radius 1,Base MP: 26,Lightning,Deals moderate Zap-type martial damage to all enemies in area of effect.,,[''],[''],[''],,['']
91,Mandrake Mercenary,,C,Dragon,Attack,531,156,245,221,181,95,2-3,Heavy Res,Heavy Res,,Weak,,Weak,,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,,Move +1: Raises Move by 1.,,Gacha,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Crack,Range: 1,Base MP: 17,Blizzard Rush,Deals 180% potency Crack-type physical damage to 1 enemy.,,[''],[''],[''],,['']
92,Metal Slime Knight,,C,Slime,Attack,411,156,245,228,163,113,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,Physical MP Cost -5%: Lowers physical MP cost by 5%.,,Story,Yes,Attack/Physical,Bang,Range: 1,Base MP: 3,Bomb Slash,Deals 120% potency Bang-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 25,Multislash,Deals 60% potency physical damage to random enemies in area of effect 4 times.,,[''],[''],[''],,['']
93,Minidemon,,C,Demon,Magic,405,163,206,180,168,207,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,Crack-type Breath MP Cost -5%: Lowers Crack-type breath MP cost by 5%.,,Gacha,Yes,Attack/Spell,Bang,Range: Cross 2,Base MP: 8,Bang,Deals minor Bang-type spell damage to all enemies in area of effect.,Attack/Breath,Crack,Range: Straight line 3,Base MP: 27,Chilly Breath,Deals moderate Crack-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
94,Mud Mannequin,,C,Inorganic,Magic,523,211,166,207,163,168,2,,Heavy Res,Heavy Res,Weak,,,Weak,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,Zap-type Spell Potency +5%: Raises Zap-type spell potency by 5%.,,Gacha,Yes,Attack/Spell,Zap,Range: 3,Base MP: 4,Zap,Deals minor Zap-type spell damage to 1 enemy.,Debuff/Spell,Typeless,Range: 3,Base MP: 14,Kasap,Occasionally lowers the DEF of all enemies in area of effect for 3 turns.,,[''],[''],[''],,['']
95,Mummy Boy,,C,Undead,Debuff,657,121,275,213,152,95,2-3,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Move +1: Raises Move by 1.,,Gacha,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Sleep Attack,"Deals 130% potency physical damage to 1 enemy, occasionally puts enemy to sleep.",Attack/Physical,Zam,Range: 1,Base MP: 17,Dark Spike,Deals 180% potency Zam-type physical damage to 1 enemy.,,[''],[''],[''],,['']
96,Mushroom Mage,,C,Nature,Magic,531,176,166,221,133,181,2,Weak,,Heavy Res,,Weak,,Heavy Res,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,Crack-type Spell Potency +5%: Raises Crack-type spell potency by 5%.,,Gacha,Yes,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Attack/Spell,Crack,Range: 3,Base MP: 24,Crackle,Deals moderate Crack-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
97,Phantom Fencer,,C,Undead,Attack,511,147,245,158,203,138,2,Weak,Weak,Heavy Res,,Heavy Res,,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,Zam-type Martial Potency +5%: Raises Zam-type martial potency by 5%.,,Story,Yes,Attack/Physical,Zam,Range: 1,Base MP: 3,Dark Blow,Deals 120% potency Zam-type physical damage to 1 enemy.,Attack/Martial,Zam,Range: Radius 1,Base MP: 26,Hades Pit,Deals moderate Zam-type martial damage to all enemies in area of effect.,,[''],[''],[''],,['']
98,Restless Armour,,C,Inorganic,Debuff,533,140,242,237,133,133,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,Bang-type Physical Potency +5%: Raises Bang-type physical potency by 5%.,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Heart Breaker,"Deals 130% potency physical damage to 1 enemy, occasionally stuns.",Attack/Physical,Bang,Range: 1,Base MP: 17,Blast Slash,Deals 180% potency Bang-type physical damage to 1 enemy.,,[''],[''],[''],,['']
99,Salamander Fry,,C,Dragon,Defence,671,191,180,255,122,95,2,,,Weak,Heavy Res,Weak,,Heavy Res,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,,Frizz-type Breath MP Cost -5%: Lowers Frizz-type breath MP cost by 5%.,,Gacha,Yes,Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,Attack/Spell,Frizz,Range: Straight line 3,Base MP: 27,Searing Breath,Deals moderate Frizz-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
100,Scarewolf,,C,Beast,Attack,523,157,240,200,168,133,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Physical MP Cost -5%: Lowers physical MP cost by 5%.,,Story,Yes,Attack/Physical,Woosh,Range: 1,Base MP: 3,Gust Slash,Deals 120% potency Woosh-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 20,Cutter-Upper,Deals 195% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
101,Seaslime,,C,Slime,Magic,,,,,,,2,,,Half Res,Weak,Half Res,Weak,,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,Crack-type Spell Potency +5%: Raises Crack-type spell potency by 5%.,,DQIII Event,Yes - limited time,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Support/Spell,Typeless,Range: 1-3(+self),Base MP: 24,Kabuff,Raises DEF of all allies in area of effect for 3 turns.,,[''],[''],[''],,['']
102,Shadow,,C,Inorganic,Attack,537,180,201,192,168,133,2,,Weak,Weak,Heavy Res,,Heavy Res,,,,Half Res,,Weak,Half Res,,,,,,Immune,,Weak,,,Zam-type Breath Potency +5%: Raises Zam-type breath potency by 5%.,,Gacha,Yes,Attack/Breath,Zam,Range: Straight line 3,Base MP: 9,Darkness Breath,Deals minor Zam-type breath damage to all enemies in area of effect.,Attack/Breath,Zam,Range: Straight line 3,Base MP: 27,Dark Breath,Deals moderate Zam-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
103,Tigercub,,C,Beast,Attack,367,132,328,155,223,92,4,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,Physical Potency +5%: Raises physical potency by 5%.,,Story,,Attack/Physical,Typeless,Range: 1,Base MP: 4,Bite,Deals 130% potency physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 17,Demon Demeaner,"Deals 270% potency physical damage to demons, 135% potency physical damage to others.",,[''],[''],[''],,['']
105,Arrghgoyle,,D,Inorganic,Attack,498,92,197,230,106,118,2,,,Weak,Heavy Res,Weak,,Heavy Res,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,,,Story,Yes,Attack/Physical,Frizz,Range: 1,Base MP: 3,Flame Slash,Deals 120% potency Frizz-type physical damage to 1 enemy.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
106,Bag o'Laughs,,D,Inorganic,Debuff,485,106,148,171,193,127,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,,,Story,Yes,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Dazzle,Occasionally blinds 1 enemy.,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Fizzle,Occasionally locks 1 enemy's spells.,,[''],[''],[''],,['']
