,Name,Picture,Rarity,Family,Role,Max HP,Max MP,Max ATK,Max DEF,Max AGL,Max WIS,Move,Frizz,Sizz,Crack,Woosh,Bang,Zap,Zam,,Sleep,Poison,Physical Lock,Spell Lock,Martial Lock,Breath Lock,Hobble,Stun,Blind,Curse,Paralysis,Confusion,Charmed,,Leader Skill,1st Awakening Passive,Ability Scroll Suggestion,How to Obtain,Battle Road?,Skill 1 - Damage Type,Skill 1 - Damage Element,Skill 1 - Type/Range,Skill 1 - Cost,Skill 1 - Name,Skill 1 - Description,Skill 2 - Damage Type,Skill 2 - Damage Element,Skill 2 - Type/Range,Skill 2 - Cost,Skill 2 - Name,Skill 2 - Description,Skill 3 - Damage Type,Skill 3 - Damage Element,Skill 3 - Range,Skill 3 - Cost,Skill 3 - Name,Skill 3 - Description
107,Bewarewolf,,D,Beast,Attack,383,92,231,163,205,86,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Straight line 2,Base MP: 7,Lightstrike,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Zap,Range: 1,Base MP: 3,Lightning Slash,Deals 120% potency Zap-type physical damage to 1 enemy.,,[''],[''],[''],,['']
108,Cannibox,,D,Inorganic,Debuff,377,118,241,210,127,86,2,,Heavy Res,Heavy Res,Weak,,,Weak,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,,,Story,Yes,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Sweet Breath,Occasionally puts all enemies in area of effect to sleep.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Bite,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
109,Chimaera,,D,Nature,Attack,391,115,215,123,145,156,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 9,Fire Breath,Deals minor Frizz-type breath damage to all enemies in area of effect.,Attack/Martial,Frizz,Range: Radius 1,Base MP: 7,Singe,Deals minor Frizz-type martial damage to all enemies in area of effect.,,[''],[''],[''],,['']
110,Crabid,,D,Nature,Defence,485,115,188,248,127,83,2,Heavy Res,,,,Weak,Weak,Heavy Res,,,,Half Res,,,Weak,,Weak,Immune,,,,Half Res,,,,,Story,Yes,Attack/Physical,Crack,Range: 1,Base MP: 3,Glacier Slash,Deals 120% potency Crack-type physical damage to 1 enemy.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Buff,Greatly raises 1 ally's DEF for 3 turns.,,[''],[''],[''],,['']
111,Crack-billed Platypunk,,D,Beast,Magic,282,140,176,163,132,166,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Attack/Spell,Bang,Range: Cross 2,Base MP: 8,Bang,Deals minor Bang-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
112,Dancing Flame,,D,Inorganic,Attack,498,106,263,123,132,90,2,Heavy Res,,Weak,Heavy Res,Weak,,,,,Half Res,,Weak,Half Res,,,,,,Immune,,Weak,,,,,Story,Yes,Attack/Martial,Frizz,Range: Radius 1,Base MP: 7,Singe,Deals minor Frizz-type martial damage to all enemies in area of effect.,Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,,[''],[''],[''],,['']
113,Drackolyte,,D,Demon,Magic,270,181,160,153,145,165,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
114,Drooling Ghoul,,D,Undead,Attack,511,140,211,171,116,90,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,,,Story,Yes,Attack/Physical,Woosh,Range: 1,Base MP: 3,Gust Slash,Deals 120% potency Woosh-type physical damage to 1 enemy.,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Paralysis Attack,"Deals 130% potency physical damage to 1 enemy, occasionally paralyses.",,[''],[''],[''],,['']
115,Golem,,D,Inorganic,Defence,536,92,176,256,77,93,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Weak,Immune,,,Half Res,,Weak,,,,Half Res,,,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,,[''],[''],[''],,['']
116,Great Sabrecub,,D,Beast,Attack,427,91,320,107,188,75,4,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Woosh,Range: 1,Base MP: 3,Propeller Blade,Deals 120% potency Woosh-type physical damage to 1 enemy.,Attack/Martial,Woosh,Range: Radius 1,Base MP: 7,Wind Sickles,Deals minor Woosh-type martial damage to enemies in area of effect.,,[''],[''],[''],,['']
117,Hawk Man,,D,Nature,Attack,331,91,272,107,215,86,4,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Physical,Zap,Range: 1,Base MP: 3,Lightning Slash,Deals 120% potency Zap-type physical damage to 1 enemy.,Attack/Martial,Woosh,Range: Radius 1,Base MP: 7,Wind Sickles,Deals minor Woosh-type martial damage to enemies in area of effect.,,[''],[''],[''],,['']
118,Hell Nino,,D,Inorganic,Attack,505,153,137,150,145,127,2,Heavy Res,Heavy Res,Weak,,Weak,,,,,Half Res,,Weak,Half Res,,,,,,Immune,,Weak,,,,,Story,Yes,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 9,Fire Breath,Deals minor Frizz-type breath damage to all enemies in area of effect.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
119,Imp,,D,Demon,Magic,356,177,162,117,161,165,2,Heavy Res,Heavy Res,,Weak,,Weak,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,,,Story,Yes,Attack/Breath,Crack,Range: Straight line 2,Base MP: 9,Cool Breath,Deals minor Crack-type breath damage to all enemies in area of effect.,Attack/Spell,Bang,Range: Cross 2,Base MP: 8,Bang,Deals minor Bang-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
120,Killing Machine Light,,D,Inorganic,Attack,393,140,222,193,150,82,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Half Res,Immune,,,Half Res,,Weak,,,,,Weak,,,,,,Story,Yes,Attack/Physical,Frizz,Range: 1,Base MP: 3,Flame Slash,Deals 120% potency Frizz-type physical damage to 1 enemy.,Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,,[''],[''],[''],,['']
121,Mad Mole,,D,Beast,Attack,383,140,227,217,106,86,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Zap,Range: 1,Base MP: 3,Lightning Slash,Deals 120% potency Zap-type physical damage to 1 enemy.,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Armour Hammer,"Deals 130% potency physical damage to 1 enemy, occasionally lowers DEF for 3 turns.",,[''],[''],[''],,['']
122,Mandrake Major,,D,Dragon,Attack,400,113,231,173,122,92,2,Weak,,Heavy Res,,Heavy Res,,Weak,,,Weak,,,,Half Res,,,,,Half Res,Immune,Weak,,,,,Story,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Crack,Range: 1,Base MP: 17,Blizzard Rush,Deals 180% potency Crack-type physical damage to 1 enemy.,,[''],[''],[''],,['']
123,Muddy Hand,,D,Inorganic,Attack,505,181,193,123,150,86,2,Heavy Res,,,,Weak,Weak,Heavy Res,,,Immune,,,Half Res,,Weak,,,,Half Res,Weak,,,,,,Story,Yes,Attack/Physical,Typeless,Range: 1,Base MP: 4,Scratch,Deals 130% potency physical damage to 1 enemy.,Debuff/Martial,Typeless,Range: 1,Base MP: 12,Eagle Grip,"Deals minor martial damage to 1 enemy, occasionaly stuns.",,[''],[''],[''],,['']
124,Orc,,D,Beast,Attack,505,140,223,163,106,93,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Straight line 2,Base MP: 7,Lightstrike,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Zap,Range: Straight line 2,Base MP: 5,Thunderstrike,Deals 105% potency Zap-type physical damage to all enemies in area of effect.,,[''],[''],[''],,['']
125,Shell Slime,,D,Slime,Magic,226,147,176,256,106,166,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Buff,Greatly raises 1 ally's DEF for 3 turns.,,[''],[''],[''],,['']
126,Slime Knight,,D,Slime,Attack,485,118,221,171,127,105,2,Heavy Res,,Heavy Res,,,Weak,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Attack/Physical,Typeless,Range: Straight line 2,Base MP: 7,Lightstrike,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Crack,Range: 1,Base MP: 3,Glacier Slash,Deals 120% potency Crack-type physical damage to 1 enemy.,,[''],[''],[''],,['']
127,Spiked Hare,,D,Beast,Debuff,,,,,,,,,Weak,Weak,Heavy Res,,Heavy Res,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,DQIII Event,Yes - limited time,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Snooze,Occasionally puts 1 enemy to sleep.,Attack/Martial,Woosh,Range: Radius 1,Base MP: 7,Wind Sickles,Deals minor Woosh-type martial damage to enemies in area of effect.,,[''],[''],[''],,['']
128,Walking Corpse,,D,Undead,Debuff,460,140,245,210,88,82,2,,Weak,Heavy Res,,Weak,,Heavy Res,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Poison Attack,"Deals 130% potency physical damage to 1 enemy, occasionally poisons.",Attack/Physical,Typeless,Range: 1,Base MP: 4,Dark Claws,Deals 130% potency Zam-type physical damage to 1 enemy.,,[''],[''],[''],,['']
130,Bodkin Archer,,E,Demon,Attack,238,118,203,117,126,81,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,,,Story,Yes,Attack/Physical,Typeless,Range: 2,Base MP: 5,Snipe Shot,Deals 130% potency physical damage to 1 enemy.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Buff,Greatly raises 1 ally's DEF for 3 turns.,,[''],[''],[''],,['']
131,Brownie,,E,Beast,Attack,358,87,210,155,83,81,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: 1,Base MP: 7,Bone Crush,Deals 145% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
132,Bubble Slime,,E,Slime,Debuff,483,118,172,111,73,81,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,Immune,,Weak,,,,,,Half Res,,,,,,,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Poison Attack,"Deals 130% potency physical damage to 1 enemy, occasionally poisons.",Attack/Physical,Typeless,Range: 1,Base MP: 7,Pounce,Deals 145% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
133,Bullfinch,,E,Beast,Debuff,300,73,257,118,132,71,4,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Helm Splitter,"Deals 130% potency physical damage to 1 enemy, occasionally lowers DEF for 3 turns.",Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,,[''],[''],[''],,['']
134,Cactiball,,E,Nature,Attack,363,93,213,148,100,73,2,,Weak,Weak,Heavy Res,,Heavy Res,,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 7,Shove,"Deals minor martial damage to 1 enemy, and knocks them back 2 spaces.",Attack/Martial,Frizz,Range: Radius 1,Base MP: 7,Singe,Deals minor Frizz-type martial damage to all enemies in area of effect.,,[''],[''],[''],,['']
135,Carnivine,,E,Nature,Debuff,491,118,181,117,73,77,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,,,Story,Yes,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Sleep Attack,"Deals 130% potency physical damage to 1 enemy, occasionally puts enemy to sleep.",Attack/Martial,Woosh,Range: Radius 1,Base MP: 7,Wind Sickles,Deals minor Woosh-type martial damage to enemies in area of effect.,,[''],[''],[''],,['']
136,Drackmage,,E,Demon,Magic,250,112,130,117,142,148,2,Weak,,Heavy Res,,Weak,,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,Debuff/Spell,Typeless,Range: 3,Base MP: 9,Sap,Occasionally greatly lowers 1 enemy's DEF for 3 turns.,,[''],[''],[''],,['']
137,Firespirit,,E,Undead,Magic,358,80,162,148,142,88,2,Heavy Res,,Weak,Heavy Res,Weak,,,,,Half Res,,Weak,Half Res,,,,,,Immune,,Weak,,,,,Story,Yes,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,Attack/Breath,Frizz,Range: Straight line 2,Base MP: 9,Fire Breath,Deals minor Frizz-type breath damage to all enemies in area of effect.,,[''],[''],[''],,['']
138,Funghoul,,E,Nature,Debuff,483,105,162,148,73,81,2,Weak,,Heavy Res,,Weak,,Heavy Res,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,,,Story,Yes,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Sweet Breath,Occasionally puts all enemies in area of effect to sleep.,Attack/Physical,Crack,Range: 1,Base MP: 3,Glacier Slash,Deals 120% potency Crack-type physical damage to 1 enemy.,,[''],[''],[''],,['']
139,Healslime,,E,Slime,Support,358,158,126,136,111,105,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 7,Heal,Heals a minor amount of HP for 1 ally.,Support/Spell,Typeless,Range: 1-2(+self),Base MP: 16,Buff,Greatly raises 1 ally's DEF for 3 turns.,,[''],[''],[''],,['']
140,Jailcat,,E,Beast,Magic,250,136,141,111,152,122,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,,Weak,,,,Half Res ,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Spell,Crack,Range: 3,Base MP: 4,Crack,Deals minor Crack-type spell damage to 1 enemy.,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Dazzle,Occasionally blinds 1 enemy.,,[''],[''],[''],,['']
141,Leery Lout,,E,Demon,Defence,262,132,126,268,73,73,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,,,Story,Yes,Support/Martial,Typeless,Range: Self,Base MP: 11,Cover,Take attacks for directly adjacent allies for 1 turn.,Attack/Physical,Zap,Range: 1,Base MP: 3,Lightning Slash,Deals 120% potency Zap-type physical damage to 1 enemy.,,[''],[''],[''],,['']
142,Lickspittle,,E,Undead,Attack,376,118,162,148,100,81,2,,Weak,Weak,Heavy Res,,Heavy Res,,,Half Res,,,,Weak,,,,,Immune,Weak,Half Res,,,,,,Story,Yes,Attack/Physical,Typeless,Range: 1,Base MP: 4,Scratch,Deals 130% potency physical damage to 1 enemy.,Debuff/Breath,Typeless,Range: Straight line 3,Base MP: 11,Poison Breath,Occasionally deals poison to all enemies in area of effect.,,[''],[''],[''],,['']
143,Mecha-Mynah,,E,Inorganic,Attack,358,87,166,173,116,81,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Half Res,Immune,,,Half Res,,Weak,,,,,Weak,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 6,Spinning-Beatdown,Deals 105% potency physical damage to all enemies in area of effect.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Sharp Claws,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
144,Meowgician,,E,Beast,Magic,238,118,141,111,157,126,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
145,She-Slime,,E,Slime,Attack,358,87,177,161,116,77,2,,Heavy Res,Heavy Res,Weak,,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Debuff/Spell,Typeless,Range: 3,Base MP: 9,Blunt,Occasionally greatly lowers 1 enemy's ATK for 3 turns.,,[''],[''],[''],,['']
146,Skeleton,,E,Undead,Attack,370,87,210,105,142,73,2,Weak,Weak,,,Heavy Res,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,,,Story,Yes,Attack/Physical,Zam,Range: 1,Base MP: 3,Dark Blow,Deals 120% potency Zam-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 2,Base MP: 5,Skeletoss,Deals 100% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
147,Stump Chump,,E,Nature,Support,478,143,130,123,83,88,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Immune,,Half Res,,,,,Weak,,Weak,,Half Res,,,,,,Story,Yes,Support/Martial,Typeless,Range: 1-2(+self),Base MP: 7,Medicinal Herb,Heals HP for 1 ally.,Debuff/Spell,Typeless,Range: 3,Base MP: 8,Fizzle,Occasionally locks 1 enemy's spells.,,[''],[''],[''],,['']
148,Teeny Sanguini,,E,Demon,Magic,238,108,130,111,157,155,2,Weak,Weak,,,Heavy Res,Heavy Res,,,,,,Half Res,,Weak,,Half Res,,,Weak,,Immune,,,,,Story,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Woosh,Range: Front 3,Base MP: 6,Woosh,Deals minor Woosh-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
150,Bunicorn,,F,Beast,Attack,321,68,138,100,131,73,2,Weak,,Heavy Res,Weak,Heavy Res,,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Sharp Claws,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
151,Candy Cat,,F,Beast,Attack,218,75,153,100,135,73,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Sizz,Range: 1,Base MP: 3,Sizzling Slash,Deals 120% potency Sizz-type physical damage to 1 enemy.,Attack/Physical,Typeless,Range: 1,Base MP: 4,Rend,Deals 130% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
152,Dracky,,F,Demon,Magic,236,111,118,111,70,103,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,Story,Yes,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,Attack/Spell,Sizz,Range: Front 3 ,Base MP: 6,Sizz,Deals minor Sizz-type spell damage to all enemies in area of effect.,,[''],[''],[''],,['']
153,Ghost,,F,Undead,Magic,201,102,145,96,81,100,4,,Weak,Weak,Heavy Res,,Heavy Res,,,Half Res,Half Res,,,Weak,,,,Weak,,Immune,,,,,,,Story,Yes,Attack/Spell,Zam,Range: 3,Base MP: 4,Zam,Deals minor Zam-type spell damage to 1 enemy.,Attack/Spell,Frizz,Range: 3,Base MP: 4,Frizz,Deals minor Frizz-type spell damage to 1 enemy.,,[''],[''],[''],,['']
154,Hammerhood,,F,Beast,Attack,345,68,153,105,78,70,2,,,Weak,Heavy Res,Weak,,Heavy Res,,Half Res,,,,Weak,,,,,Immune,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: Radius 1,Base MP: 7,Helichopter,Deals 110% potency physical damage to all enemies in area of effect.,Debuff/Physical,Typeless,Range: 1,Base MP: 12,Helm Splitter,"Deals 130% potency physical damage to 1 enemy, occasionally lowers DEF for 3 turns.",,[''],[''],[''],,['']
155,Mischievous Mole,,F,Beast,Attack,216,78,212,100,78,67,2,Heavy Res,Heavy Res,,Weak,,Weak,,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Bang,Range: 1,Base MP: 3,Bomb Slash,Deals 120% potency Bang-type physical damage to 1 enemy.,Support/Martial,Typeless,Range: Self,Base MP: 14,Attack Prep,Greatly raises the user's ATK for 1 turn.,,[''],[''],[''],,['']
156,Platypunk,,F,Beast,Attack,242,75,157,135,70,70,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,Weak,,,,Half Res,Immune,Half Res,,,,,,,,,Story,Yes,Attack/Physical,Typeless,Range: 1,Base MP: 4,Swipestorm,Deals 28% potency physical damage to 1 enemy 4 times.,Attack/Physical,Typeless,Range: 1,Base MP: 7,Pounce,Deals 145% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
157,Slime,,F,Slime,Attack,242,111,118,100,110,73,2,Weak,,Heavy Res,,Heavy Res,,Weak,,Weak,,,Weak,,,,,Immune,Half Res,,,Half Res,,,,,Story,Yes,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Spell,Zap,Range: 3,Base MP: 4,Zap,Deals minor Zap-type spell damage to 1 enemy.,,[''],[''],[''],,['']
158,Stark Raven,,F,Nature,Attack,300,70,168,76,108,63,2,Heavy Res,,,,Weak,Weak,Heavy Res,,Weak,Weak,,,,Half Res,Immune,,,,Half Res,,,,,,,DQIII Event,Yes - limited time,Attack/Martial,Typeless,Range: 1,Base MP: 4,Body Slam,Deals minor martial damage to 1 enemy.,Attack/Physical,Typeless,Range: 2,Base MP: 5,Skeletoss,Deals 100% potency physical damage to 1 enemy.,,[''],[''],[''],,['']
